Solute_SMILES,Solvent_SMILES,T,log-gamma
CCCCC,CS(C)=O,25,3.747148362
CCCCC,OC(C)=O,25,2.45530618
CCCCC,ClCCl,25,1.16938136
CCCCC,ClC(Cl)Cl,25,0.672944473
CCCCC,ClC(Cl)(Cl)Cl,25,0.285178942
CCCCC,ClCCCl,25,1.504077397
CCCCC,O1CCCC1,25,0.727548607
CCCCC,C1OCCOC1,25,1.706564623
CCCCC,CCN(CC)CC,25,0.029558802
CCCCC,O=C1CCCO1,25,3.138966442
CCCCC,CN(C)P(=O)(N(C)C)N(C)C,25,1.147402453
CCCCC,OCC(F)(F)F,25,3.166318574
CCCCC,FC(F)(F)C(O)C(F)(F)F,25,1.460937904
CCCCC,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,25,1.526056303
CCCCC,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,25,1.486139696
CCCCC,CN(=O)=O,25,3.449034711
CCCCC,CCCN(=O)=O,25,1.677096561
CCCCC,CSSC,25,0.90016135
CCCCC,O=C1CCCCC1,25,1.305626458
CCCCC,CC1OC(OC1)=O,25,3.250374492
CCCCC,n1ccccc1,25,1.686398954
CCCCC,O=C1NCCC1,30,3.460095023
CCCCC,O=C1NCCC1,40,3.377246161
CCCCC,O=C1NCCC1,50,3.312001803
CCCCC,O=C1NCCC1,60,3.235929579
CCCCC,CNC=O,40,3.353406718
CCCCC,CNC=O,50,3.27336401
CCCCC,O=CN1CCOCC1,30.05,3.244933359
CCCCC,OCc1occc1,5,3.417726684
CCCCC,OCc1occc1,25,3.210843653
CCCCC,CCNC(C)=O,30,2.021547563
CCCCC,CCNC(C)=O,40,1.994700313
CCCCC,CCNC(C)=O,50,1.978239036
CCCCC,CCNC(C)=O,60,1.950186706
CCCCC,CCN(CC)C(C)=O,30,1.465567542
CCCCC,CCN(CC)C(C)=O,40,1.406096988
CCCCC,CCN(CC)C(C)=O,50,1.371180723
CCCCC,CCN(CC)C(C)=O,60,1.319085611
CCCCC,CCOC(=O)c1ccccc1C(OCC)=O,30,1.398716881
CCCCC,CCOC(=O)c1ccccc1C(OCC)=O,40,1.337629189
CCCCC,CCOC(=O)c1ccccc1C(OCC)=O,50,1.300191662
CCCCC,CCOC(=O)c1ccccc1C(OCC)=O,60,1.252762968
CCCCC,CCN1CCCC1=O,35,1.888583654
CCCCC,CCN1CCCC1=O,45,1.81319475
CCCCC,CC1CCC(=O)N1C,35,1.912501087
CCCCC,CC1CCC(=O)N1C,45,1.884034745
CCCCC,CCCCCCCCCCCCCCCC,70,-0.254118356
CCCCC,CCCCCCCCCCCCCCCC,80,-0.287682072
CCCCC,CCCCCCCCCCCCCCCC,90,-0.324346057
CCCCC,CCOC(=O)c1ccccc1,40,1.01884732
CCCCC,CCOC(=O)c1ccccc1,50,1.00063188
CCCCC,CCOC(=O)c1ccccc1,60,0.97455964
CCCCC,CCOC(=O)c1ccccc1,70,0.959350221
CCCCC,O=C1CCCCCO1,30,2.332143895
CCCCC,O=C1CCCCCO1,45,2.276241118
CCCCC,O=C1CCCCCO1,60,2.199444334
CCCCC,OCCCCCCCCCCCCCCCCCC,60,0.0292
CCCCC,OCCCCCCCCCCCCCCCCCC,65,0.0272
CCCCC,OCCCCCCCCCCCCCCCCCC,70,0.0259
CCCCC,OCCCCCCCCCCCCCCCCCC,75,0.0243
CCCCC,OCCCCCCCCCCCCCCCCCC,80,0.0231
CCCCC,OCCCCCCCCCCCCCCCCCCCC,65,0.0954
CCCCC,OCCCCCCCCCCCCCCCCCCCC,70,0.0801
CCCCC,OCCCCCCCCCCCCCCCCCCCC,75,0.0668
CCCCC,OCCCCCCCCCCCCCCCCCCCC,80,0.0564
CCCCC,O=Cc1occc1,25,3.034952987
CCCCC,O=Cc1occc1,25,3.015534901
CCCCC,O=Cc1occc1,35,2.884800713
CCCCC,O=Cc1occc1,35,2.827313622
CCCCC,O=Cc1occc1,45,2.821378886
CCCCC,O=Cc1occc1,45,2.708050201
CCCCC,CCCCCCCCCCCCCCCCCCCCCCCC,60.6,-0.314710745
CCCCC,CCCCCCCCCCCCCCCCCCCCCCCC,80.3,-0.314710745
CCCCC,CCCCCCCCCCCCCCC=C,39.5,-0.072570693
CCCCC,CCCCCCCCCCCCCCC=C,46.5,-0.072570693
CCCCC,CCCCCCCCCCCCCCC=C,53.7,-0.083381609
CCCCC,CCCCCCCCCCCCCCC=C,60.1,-0.072570693
CCCCC,CCCCCCCCCCCCCCCCC=C,41.5,-0.105360516
CCCCC,CCCCCCCCCCCCCCCCC=C,51.5,-0.127833372
CCCCC,CCCCCCCCCCCCCCCCC=C,61,-0.105360516
CCCCC,CCCCCCCCCCCCCCCCC=C,70.1,-0.127833372
CCCCC,CCCCCCCCCCCCCCCCCl,47.8,0.009950331
CCCCC,CCCCCCCCCCCCCCCCCCCl,42.4,-0.030459207
CCCCC,CCCCCCCCCCCCCCCCCCCl,50.8,-0.040821995
CCCCC,CCCCCCCCCCCCCCCCCCCl,60.6,-0.040821995
CCCCC,CCCCCCCCCCCCCCCCCCCl,70.3,-0.040821995
CCCCC,OCCCCCCCCCCCC,35,0.652325186
CCCCC,OCCCCCCCCCCCC,42.8,0.641853886
CCCCC,OCCCCCCCCCCCC,53,0.636576829
CCCCC,OCCCCCCCCCCCC,60,0.609765572
CCCCC,OCCCCCCCCCCCCCC,44.8,0.476234179
CCCCC,OCCCCCCCCCCCCCC,56.1,0.482426149
CCCCC,OCCCCCCCCCCCCCC,65.1,0.482426149
CCCCC,OCCCCCCCCCCCCCC,75.8,0.444685821
CCCCC,CCCCCCCCCCC(C)=O,33.8,0.371563556
CCCCC,CCCCCCCCCCC(C)=O,42.5,0.392042088
CCCCC,CCCCCCCCCCC(C)=O,51.7,0.357674444
CCCCC,CCCCCCCCCC(=O)CCCCCCCCC,70.7,0
CCCCC,CCCCCCCCCC(=O)CCCCCCCCC,89.6,-0.040821995
CCCCC,CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCC)=O,29.85,0.108854405
CCCCC,CC(C)=O,29.96,1.764730797
CCCCC,CC(C)=O,45.08,1.506297154
CCCCC,CC(C)=O,50.05,1.456286733
CCCCC,CC(C)=O,30,1.752672081
CCCCC,CCC(C)=O,30,1.324418957
CCCCC,CCC(C)=O,40,1.269760545
CCCCC,CCC(C)=O,50,1.232560261
CCCCC,CO,30,3.010620886
CCCCC,OCC,30,2.224623552
CCCCC,OCC,40,2.170195905
CCCCC,OCC,50,2.1102132
CCCCC,CO,25,3.04
CCCCC,OCC,25,2.22
CCCCC,OCCC,25,1.75
CCCCC,OCCCC,25,1.5
CCCCC,OCCCCC,25,1.32
CCCCC,OCCCCCC,20,1.14
CCCCC,OCCCCCCC,25,1.07
CCCCC,OCCCCCCCC,25,0.95
CCCCC,OCCCCCCCCC,30,0.93
CCCCC,CCCCCCCCCCc1ccccc1,40,0.06
CCCCC,CCCCCCCCCCCCc1ccccc1,40,0.028
CCCCC,CCCCCCCCCCCCCCc1ccccc1,40,0.016
CCCCC,CCCCCCCCCCCCCCCc1ccccc1,40,-0.006
CCCCC,CCCCCCCCCCCCCCCCCCCc1ccccc1,40,-0.051
CCCCC,OCC,25,2.250238613
CCCCC,CO,25,2.970414466
CCCCC,OCCCC,35,1.415853163
CCCCC,OCCCC,45,1.342864803
CCCCC,OCCCC,55,1.348073148
CCCCC,OCCCCC,35,1.460937904
CCCCC,OCCCCC,45,1.305626458
CCCCC,OCCCCC,55,1.261297871
CCCCC,Cc1ccccc1,20,0.494696242
CCCCC,Cc1ccccc1,30,0.476234179
CCCCC,Cc1ccccc1,40,0.457424847
CCCCC,ClC(Cl)Cl,25,0.75612198
CCCCC,O1CCCC1,40,0.712949808
CCCCC,COCCOCCOCCOCCOC,15,1.467874348
CCCCC,N#CCCCCC#N,20,3.5085559
CCCCC,N#CCCCCC#N,25,3.465735903
CCCCC,N#CCCCCC#N,30,3.356897123
CCCCC,N#CCCCCC#N,25,3.62700405
CCCCC,CCCN(=O)=O,25,1.652497402
CCCCC,N#CCc1ccccc1,25,2.388762789
CCCCC,CN(C)P(=O)(N(C)C)N(C)C,25,1.581038438
CCCCC,O=C1CCCCC1,25,1.208960346
CCCCC,CC(=O)Cc1ccccc1,25,2.038619547
CCCCC,CC(CCc1ccccc1)=O,25,1.652497402
CCCCC,ClC(Cl)C(Cl)Cl,25,1.160020917
CCCCC,C(C=Cc1cc2)c1cc2,25,1.101940079
CCCCC,Clc2c1ccccc1ccc2,25,1.348073148
CCCCC,Cc2c1ccccc1ccc2,25,1.115141591
CCCCC,NCCCCCCCCN,55.06,1.332366019
CCCCC,NCCCCCCCCN,65.08,1.302912752
CCCCC,NCCCCCCCCN,70.04,1.289232648
CCCCC,NCCCCCCCCN,75.1,1.283707772
CCCCC,NCCCCCCCCCCN,65.05,1.465567542
CCCCC,NCCCCCCCCCCN,75,1.391281903
CCCCC,NCCCCCCCCCCN,80.07,1.360976553
CCCCC,NCCCCCCCCCCCCN,75.1,1.560247668
CCCCC,NCCCCCCCCCCCCN,80,1.556037136
CCCCC,NCCCCCCCCCCCCN,85.1,1.54329811
CCCCC,NCCCCCCCCCCCCN,90.06,1.532556868
CCCCC,CCCCC(CC)CO[P](=O)(OCC(CC)CCCC)OCC(CC)CCCC,50,-0.28
CCCCC,CCCCC(CC)CO[P](=O)(OCC(CC)CCCC)OCC(CC)CCCC,75,-0.28
CCCCC,CCCCC(CC)CO[P](=O)(OCC(CC)CCCC)OCC(CC)CCCC,100,-0.29
CCCCC,CCCCC(CC)CO[P](=O)(OCC(CC)CCCC)OCC(CC)CCCC,125,-0.27
CCCCC,CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCC)=O,30,0.108854405
CCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,30,-0.478035801
CCCCC,CCCCOP(OCCCC)(OCCCC)=O,51.75,0.470003629
CCCCC,CCCCOP(OCCCC)(OCCCC)=O,70.55,0.463734016
CCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,20,-0.482886255
CCCCC,Nc1ccccc1,20,2.981633349
CCCCC,n2cc1ccccc1cc2,20,2.033397603
CCCCC,c2nc1ccccc1cc2,20,2.055404964
CCCCC,Cc2nc1ccccc1cc2,20,1.701105101
CCCCC,Cc2c1ccccc1ncc2,20,1.763017
CCCCC,Cc2c1ccccc1ccc2,20,1.223775432
CCCCC,Clc2c1ccccc1ccc2,20,1.232560261
CCCCC,CCOC(C)=O,30,1.085189268
CCCCC,CC(C)=O,35,1.665818246
CCCCC,OCC,40,2.112634509
CCCCC,CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCC)=O,80,0
CCCCC,CCCCCCCCCCCCCCCC(O)=O,73.8,0.029558802
CCCCC,CCCCCCCCCCCCCCCC(O)=O,87.5,0.246860078
CCCCC,CCCCCCCCCCCCCCCC(O)=O,108.3,0.336472237
CCCCC,CCCCCCCCCCCCCCCC(O)=O,122.3,0.357674444
CCCCC,OC(CCCCCCCCC(O)=O)=O,143,1.316408234
CCCCC,OC(CCCCCC(O)=O)=O,11.8,2.149433913
CCCCC,CCCCCCCCCCCCCCCCCC,35,-0.135622262
CCCCC,CCCCCCCCCCCCCCCCC=C,35,-0.129635541
CCCCC,OCCO,30,6.077642243
CCCCC,OCCO,40,5.963579344
CCCCC,OCCO,50,5.823045895
CCCCC,OCCOCCO,31,4.305415532
CCCCC,OCCOCCO,40,4.25561271
CCCCC,OCCOCCO,50,4.195697056
CCCCC,CCCCCCCCCCCC,25,-0.059750004
CCCCC,CCCCCCCCCCCC,25,-0.061875404
CCCCC,CCCCCCCCCCCC,25,-0.059750004
CCCCC,CCCCCCCCCCCC,7,-0.029428811
CCCCC,O=Cc1occc1,5,3.19047635
CCCCC,O=Cc1occc1,25,3.072693315
CCCCC,CCCCCCCCCCCCCCCCCCCC,93.9,-0.203340924
CCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,74.1,-0.479650006
CCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,93.9,-0.465215113
CCCCC,OCCCCCCCCCCCCCCCC,53.2,0.440188544
CCCCC,OCCCCCCCCCCCCCCCC,74.1,0.353469813
CCCCC,OCCCCCCCCCCCCCCCC,93.9,0.3074847
CCCCC,CCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)OCCCC,53.2,0.433080275
CCCCC,CCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)OCCCC,74.1,0.371563556
CCCCC,CCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)OCCCC,93.9,0.372252974
CCCCC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,53.2,0.724161234
CCCCC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,74.1,0.655964389
CCCCC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,93.9,0.615726034
CCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,80,-0.500875293
CCCCC,CCCCCCCC,40,0
CCCCC,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,25,-0.185125484
CCCCC,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,25,-0.181521877
CCCCC,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,25,-0.175544573
CCCCC,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,25,-0.183922838
CCCCC,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,25,-0.177931208
CCCCC,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,25,-0.177931208
CCCCC,CCOC(=O)c1ccccc1C(OCC)=O,25,1.64
CCCCC,CCOC(=O)c1ccccc1C(OCC)=O,50,1.37
CCCCC,CCOC(=O)c1ccccc1C(OCC)=O,75,1.16
CCCCC,CCOC(=O)c1ccccc1C(OCC)=O,100,1.01
CCCCC,CCOC(=O)c1ccccc1C(OCC)=O,125,0.89
CCCCC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,25,0.54
CCCCC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,50,0.47
CCCCC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,75,0.42
CCCCC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,100,0.39
CCCCC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,125,0.37
CCCCC,CC(C)COC(=O)c1ccccc1C(OCC(C)C)=O,25,0.97
CCCCC,CC(C)COC(=O)c1ccccc1C(OCC(C)C)=O,50,0.17
CCCCC,CC(C)COC(=O)c1ccccc1C(OCC(C)C)=O,75,0.61
CCCCC,CC(C)COC(=O)c1ccccc1C(OCC(C)C)=O,100,0.53
CCCCC,CC(C)COC(=O)c1ccccc1C(OCC(C)C)=O,125,0.5
CCCCC,CCCCC(CC)COC(=O)c1ccccc1C(OCC(CC)CCCC)=O,25,0.35
CCCCC,CCCCC(CC)COC(=O)c1ccccc1C(OCC(CC)CCCC)=O,50,0.26
CCCCC,CCCCC(CC)COC(=O)c1ccccc1C(OCC(CC)CCCC)=O,75,0.21
CCCCC,CCCCC(CC)COC(=O)c1ccccc1C(OCC(CC)CCCC)=O,100,0.2
CCCCC,CCCCC(CC)COC(=O)c1ccccc1C(OCC(CC)CCCC)=O,125,0.2
CCCCC,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,25,0.18
CCCCC,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,50,0.055
CCCCC,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,75,-0.032
CCCCC,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,100,-0.072
CCCCC,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,125,-0.1
CCCCC,CCCCOC(=O)c2ccccc2C(OCc1ccccc1)=O,25,1.35
CCCCC,CCCCOC(=O)c2ccccc2C(OCc1ccccc1)=O,50,1.17
CCCCC,CCCCOC(=O)c2ccccc2C(OCc1ccccc1)=O,75,1.03
CCCCC,CCCCOC(=O)c2ccccc2C(OCc1ccccc1)=O,100,0.94
CCCCC,CCCCOC(=O)c2ccccc2C(OCc1ccccc1)=O,125,0.87
CCCCC,CCCCOC(=O)c1ccccc1C(=O)OCC(CC)CCCC,25,0.19
CCCCC,CCCCOC(=O)c1ccccc1C(=O)OCC(CC)CCCC,50,0.12
CCCCC,CCCCOC(=O)c1ccccc1C(=O)OCC(CC)CCCC,75,0.082
CCCCC,CCCCOC(=O)c1ccccc1C(=O)OCC(CC)CCCC,100,0.063
CCCCC,CCCCOC(=O)c1ccccc1C(=O)OCC(CC)CCCC,125,0.048
CCCCC,OCCCCCCO,60.7,2.58
CCCCC,OCCCCCCO,70.25,2.57
CCCCC,OCCCCCCO,81,2.55
CCCCC,OCCCCCCCCCO,65.7,1.88
CCCCC,OCCCCCCCCCO,75.7,1.83
CCCCC,OCCCCCCCCCO,87,1.77
CCCCC,SCCCCCCS,41.7,1.3
CCCCC,N#CCCCCCCCCCCC#N,70.95,1.29
CCCCC,N#CCCCCCCCCCCC#N,85.4,1.24
CCCCC,N#CCCCCCCCCCCC#N,100.6,1.19
CCCCC,NCCCCCCCCCCCCN,71.9,1.68
CCCCC,NCCCCCCCCCCCCN,80,1.59
CCCCC,NCCCCCCCCCCCCN,90.5,1.5
CCCCC,CCCCC[Sn](CCCCC)(CCCCC)CCCCC,40,-0.313341819
CCCCC,CCCCC[Sn](CCCCC)(CCCCC)CCCCC,45,-0.311974765
CCCCC,CCCCC[Sn](CCCCC)(CCCCC)CCCCC,50,-0.310609577
CCCCC,CCCCC[Sn](CCCCC)(CCCCC)CCCCC,55,-0.310609577
CCCCC,CCCCC[Sn](CCCCC)(CCCCC)CCCCC,60,-0.30924625
CCCCC,CCCCCCCCCCCCCCCC,30,-0.038740828
CCCCC,CCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC,40,-0.553385238
CCCCC,CCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC,55,-0.553385238
CCCCC,CCCCCCCCCCCCCCCC,40,-0.139262067
CCCCC,CCCCCCCCCCCCCCCC,70,-0.151986357
CCCCC,CCCCCCCCCCCCCCCC,90,-0.160168752
CCCCC,CCCCCCCCCCCCCCCC,40,-0.121038328
CCCCC,CCCCCCCCCCCCCCCC,50,-0.135819723
CCCCC,CC#N,25,3.015534901
CCCCC,CC#N,25,3.063390922
CCCCC,CC#N,25,3.060114532
CCCCC,CC#N,25,3.000222179
CCCCC,CO,25,3.552486829
CCCCC,OCCCC,20,1.401182974
CCCCC,CC(C)CC(C)(C)C,20,-0.020202707
CCCCC,CC(=O)c1ccccc1,20,1.791759469
CCCCC,Nc1ccccc1,20,3.000719815
CCCCC,COc1ccccc1,20,1.291983682
CCCCC,c1ccccc1,20,0.810930216
CCCCC,N#Cc1ccccc1,20,1.805004696
CCCCC,ClCc1ccccc1,20,1.410986974
CCCCC,OCCCC,20,1.458615023
CCCCC,CCC(C)=O,20,1.297463147
CCCCC,O=C1CCCCC1,20,1.378766095
CCCCC,ClCCCl,20,1.566530411
CCCCC,CN(C)C=O,20,2.815408719
CCCCC,CCOC(C)=O,20,1.128171091
CCCCC,OCC,20,2.261763098
CCCCC,CCCCCCC,20,0
CCCCC,CC(C)CC(C)(C)C,20,-0.020202707
CCCCC,O=N(c1ccccc1)=O,20,2.009555414
CCCCC,CCN(=O)=O,20,2.263844265
CCCCC,CC(C)N(=O)=O,20,1.871802177
CCCCC,Oc1ccccc1,50,2.388762789
CCCCC,Cc1ccccc1,20,0.587786665
CCCCC,Cc1ccc(C)cc1,20,0.392042088
CCCCC,c1ccccc1,25,0.737164066
CCCCC,c1ccccc1,75,0.576613364
CCCCC,c1ccccc1,75,0.598836501
CCCCC,OCc1occc1,27,3.17805383
CCCCC,NCc1occc1,27,2.442347035
CCCCC,OCC1CCCO1,27,2.48490665
CCCCC,CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCC)=O,30,0.108854405
CCCCC,CCCCNC(=O)c1ccccc1,20,1.577121311
CCCCC,CCCCNC(=O)c1ccccc1,30,1.508511994
CCCCC,CCCCNC(=O)c1ccccc1,40,1.448094762
CCCCC,CCCCNC(=O)c1ccccc1,50,1.393269975
CCCCC,C1CCC2CCCCC2C1,25,0.254642218
CCCCC,C1CCC2CCCCC2C1,25,0.254642218
CCCCC,C1CCC2CCCCC2C1,25,0.262364264
CCCCC,C1CCC2CCCCC2C1,25,0.350656872
CCCCC,OCCN,15,6.148895555
CCCCC,OCCN,25,5.949078831
CCCCC,OCCN,35,5.850764665
CCCCC,c2nc1ccccc1cc2,25,1.439835128
CCCCC,c2nc1ccccc1cc2,25,1.432700734
CCCCC,c2nc1ccccc1cc2,40,1.381281819
CCCCC,c2nc1ccccc1cc2,40,1.398716881
CCCCC,c2nc1ccccc1cc2,40,1.512927012
CCCCC,CN1CCN(C)C1=O,25,2.618125494
CCCCC,CN1CCN(C)C1=O,25,2.693274916
CCCCC,CN1CCN(C)C1=O,25,2.651127054
CCCCC,CN1CCN(C)C1=O,25,2.615203651
